origin,Organism/Name,kingdom,phylum,class,order,family,subfamily,genus
RefSeq-v207,Staphylococcus phage IME-SA118,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage IME-SA119,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage IME-SA2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage IME-SA4,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,
RefSeq-v207,Staphylococcus phage IME1348_01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Rockefellervirus
RefSeq-v207,Staphylococcus phage IME1361_01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bronfenbrennervirinae,Biseptimavirus
RefSeq-v207,Staphylococcus phage ISP,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage JD007,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage JS01,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bronfenbrennervirinae,Peeveelvirus
RefSeq-v207,Staphylococcus phage LH1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Triavirus
RefSeq-v207,Staphylococcus phage LSA2366,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Rosenblumvirus
RefSeq-v207,Staphylococcus phage MCE-2014,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage MSA6,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage P108,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage P1105,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bronfenbrennervirinae,Biseptimavirus
